Date,ProductAsin,RatingScore,ReviewDescription,ReviewId,ReviewReaction,ReviewTitle,ReviewUrl,TotalCategoryRatings,TotalCategoryReviews,Variant
2024-07-14,B0CPSSKZXQ,5,"Good Quality, sound is good",R2PYFTXT4ZXH0R,0,Good Quality ,https://www.amazon.in/gp/customer-reviews/R2PYFTXT4ZXH0R?ASIN=B0CPSSKZXQ,1813,564,Colour: Rustic OliveStyle Name: VIBE 2
2024-07-30,B0CPSSKZXQ,4,Battery is good.Sound Quality is Good.Go for it.,R2PKHZT2FWV0X0,0,It's perfect,https://www.amazon.in/gp/customer-reviews/R2PKHZT2FWV0X0?ASIN=B0CPSSKZXQ,1813,564,Colour: Wandering BlackStyle Name: VIBE 2
2020-12-14,B0CPSSKZXQ,5,"This speaker offers a great value for money. For the money you pay , the speaker offers brilliant build quality with an excellent sound. The speaker is feature loaded with 5 different modes to offer ( AUX, FM, TF Card, Call Receiving & TWS) and has an amazing battery life. It is an overall package. The audio quality offers good treble and mid range while Bass is still manageable considering the overall output. The Audio clarity also depends on the source you are playing and the difference is quite obvious when I streamed audio from Amazon Music and Spotify and playing the MP3s stored on my phone. The streaming audio quality was fluctuating when compared to playing MP3s but still very good.Audio Quality: 4.5/5 ( Mids and Trebles are good, BASS is decent )Audio Output: 5/5 ( Sufficient output for small hall and for large bedrooms. Couldn't hear much distortions even at highest volume)Build Quality: 5/5Design: 5/5 ( P.S: The fabric  outer covering is of good quality but may get dirty)Battery Life: 5/5 ( Played Songs for 8 Hours at an average of 40-50% volume continuously and battery indicator was still showing 80%. I think I can extend it beyond 16 Hours easily)Connectivity: 4/5 within 10 meters distancePros: Build Quality/ Battery Life/ Design/ Audio Quality/ Audio Output/FeaturesCons: Tuning FM is a task but once tuned, it works like a piece of cake/ Loud Irritating menu sounds especially when turning the speaker on and blue tooth pairing.",R33155836WHWL8,5,A very good speaker with great value for money,https://www.amazon.in/gp/customer-reviews/R33155836WHWL8?ASIN=B0CPSSKZXQ,1813,564,Colour: Stone GreyStyle Name: Vibe
2021-08-07,B0CPSSKZXQ,5,"I am not gonna make you guys read a big paragraph, instead I am listing the performance of this cute little beast down below for you to get an idea.- Sound quality = 9/10 (Slight distortion when volume is at 100, but at the levels of 80-85, it's magic)- Treble = 9/10- Bass = 10/10 (It's amazing for its size and the bass is punchy. So don't expect the bass to be similar to boom boxes or other big speakers)- Battery life = 10/10 (Takes a while to charge though. But completely worth it for the standby time it provides)- Portability = 10/10- Toughness = 10/10 (Already dropped couple of times from atleast 5 feet high. Also water resistance is outstanding)- Connectivity = 10/10 (Super fast connectivity without seamless latency)- Build Quality - 10/10 (Premium to the core)So to sum it up, if you are looking for a decent Bluetooth speaker which can vibe a room go for this monster. You can always tweak Equalizer in your device to adjust the bass and treble according to your liking. The speaker is so adjustable and gives the desired sound output. Overall my experience with the speaker with one month of usage is speachless. #Vibe",R2SUIZM66ZJNLD,2,Absolute allrounder,https://www.amazon.in/gp/customer-reviews/R2SUIZM66ZJNLD?ASIN=B0CPSSKZXQ,1813,564,Colour: Midnight BlackStyle Name: Vibe
2024-08-02,B0CPSSKZXQ,1,There is no sound when driving car,R2KE9RDXXN5YL2,0,Sound,https://www.amazon.in/gp/customer-reviews/R2KE9RDXXN5YL2?ASIN=B0CPSSKZXQ,1813,564,Colour: Rustic OliveStyle Name: VIBE 2
2024-06-02,B0CPSSKZXQ,5,Great,R3DLA7UYUOYRJC,2,Great speaker for 1500 bucks.,https://www.amazon.in/gp/customer-reviews/R3DLA7UYUOYRJC?ASIN=B0CPSSKZXQ,1813,564,Colour: Safari BeigeStyle Name: VIBE 2
2021-10-19,B0CPSSKZXQ,3,"Noise Vibe speaker design, package, quality very good.Inside package  have  aux cable and  usb charger port and some sticker.Mannual  are good easy readable connectivity are excellent user friendly.But output sound are not clear which is average.",R3HKTZ1CLF6Y30,1,Good speaker,https://www.amazon.in/gp/customer-reviews/R3HKTZ1CLF6Y30?ASIN=B0CPSSKZXQ,1813,564,Colour: Olive GreenStyle Name: Vibe
2023-09-25,B0CPSSKZXQ,4,Very good product quality also good,R2A35VO12OIABN,0,Best,https://www.amazon.in/gp/customer-reviews/R2A35VO12OIABN?ASIN=B0CPSSKZXQ,1813,564,Colour: Olive GreenStyle Name: Vibe
2024-06-27,B0CPSSKZXQ,5,Thank you totaly Seal product & I like most,R1BSX0B47UUI3Q,0,Supperb,https://www.amazon.in/gp/customer-reviews/R1BSX0B47UUI3Q?ASIN=B0CPSSKZXQ,1813,564,Colour: Rustic OliveStyle Name: VIBE 2
2024-06-16,B0CPSSKZXQ,5,EXCELENT PRODUCT ...SOUND QUALITY  AND BASS IS AWESOME....OVERALL 6/5 POINTS,RFRRUV7B0LWZL,0,Awesome,https://www.amazon.in/gp/customer-reviews/RFRRUV7B0LWZL?ASIN=B0CPSSKZXQ,1813,564,Colour: Wandering BlackStyle Name: VIBE 2
